vehicle_id,evaluation_timestamp,prediction_horizon,label_source,review_status,matched_normal_window,speed,speed_limit,event_type,gps_freshness,traffic_level,weather,zone_historical_risk,restriction_level,slow_down_zone_active,pedestrian_exposure,speed_over_limit,speed_over_limit_band,speeding_ratio_5m,speeding_ratio_10m,mean_speed_5m,mean_speed_30m,max_speed_5m,speed_std_10m,speed_delta_last_3_events,harsh_brake_count_10m,sharp_turn_count_10m,recent_harsh_brake_count_10m,recent_sharp_turn_count_10m,alert_density_30m,risk_escalation_rate,shift_hours,night_flag,time_since_last_intervention,reaction_window_active,post_intervention_noncompliance,traffic_weather_compound_index,zone_transition_risk,nearby_vehicle_count_50m,nearest_vehicle_distance_m,nearest_vehicle_relative_speed_kmh,closing_rate_mps,interaction_features_available,previous_risk,risk_trend,latent_synthetic_risk,near_miss_within_next_15m,intervention_contaminated_window
PM-SYN-000,2026-08-19T08:30:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,23,25,normal_update,delayed,medium,rain,0.72,caution,False,medium,0,none,0.333,0.4,24.67,26.93,30.0,3.26,-7.0,0,0,0,0,6.0,0.0,1.33,False,4,False,False,0.5,0.35,3,25.8,12.4,1.7,True,0.296,decreasing,0.165,1,False
PM-SYN-000,2026-08-19T08:32:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,24,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.0,0.4,22.67,26.67,24.0,3.06,3.0,0,0,0,0,6.0,0.0,1.37,False,6,False,False,0.5,0.35,1,20.8,4.4,1.1,True,0.165,decreasing,0.095,1,False
PM-SYN-000,2026-08-19T08:34:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,32,25,speeding,fresh,medium,rain,0.72,caution,False,medium,7,minor,0.333,0.4,26.33,26.6,32.0,4.24,9.0,0,0,0,0,8.0,0.185,1.4,False,8,False,True,0.5,0.35,3,45.8,17.2,0.64,True,0.095,increasing,0.263,0,True
PM-SYN-000,2026-08-19T08:36:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,34,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,9,minor,0.667,0.4,30.0,27.2,34.0,5.19,10.0,0,0,0,0,8.0,0.097,1.43,False,10,False,False,0.5,0.35,1,18.9,2.1,1.27,True,0.263,increasing,0.179,0,True
PM-SYN-000,2026-08-19T08:38:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,24,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.667,0.4,30.0,26.67,34.0,4.63,-8.0,0,0,0,0,6.0,0.0,1.47,False,12,False,False,0.5,0.35,0,999.0,0.0,0.0,True,0.179,decreasing,0.07,0,True
PM-SYN-000,2026-08-19T08:40:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,26,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,1,minor,0.667,0.6,28.0,26.73,34.0,4.2,-8.0,0,0,0,0,6.0,0.0,1.5,False,14,False,False,0.5,0.35,2,18.1,7.9,1.27,True,0.07,stable,0.213,0,True
PM-SYN-000,2026-08-19T08:42:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,28,25,harsh_brake,fresh,medium,rain,0.72,caution,False,medium,3,minor,0.667,0.8,26.0,26.87,28.0,3.71,4.0,1,0,1,0,8.0,0.0,1.53,False,16,False,True,0.5,0.35,0,999.0,0.0,0.0,True,0.213,stable,0.193,0,False
PM-SYN-000,2026-08-19T08:44:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,19,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.667,0.6,24.33,26.4,28.0,4.92,-7.0,1,0,1,0,8.0,0.0,1.57,False,18,False,False,0.5,0.35,0,999.0,0.0,0.0,True,0.193,decreasing,0.137,0,False
PM-SYN-000,2026-08-19T08:46:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,26,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,1,minor,0.667,0.6,24.33,26.53,28.0,3.07,-2.0,1,0,1,0,6.0,0.0,1.6,False,20,False,False,0.5,0.35,0,999.0,0.0,0.0,True,0.137,stable,0.103,0,False
PM-SYN-000,2026-08-19T08:48:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,31,25,sharp_turn,delayed,medium,rain,0.72,caution,False,medium,6,minor,0.667,0.8,25.33,26.2,31.0,3.95,12.0,1,1,1,1,8.0,0.297,1.63,False,22,False,True,0.5,0.35,1,10.8,6.5,1.1,True,0.103,increasing,0.502,1,False
PM-SYN-000,2026-08-19T08:50:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,24,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.667,0.6,27.0,26.0,31.0,4.03,-2.0,1,1,1,1,8.0,0.0,1.67,False,0,True,False,0.5,0.35,3,40.3,1.4,0.25,True,0.502,decreasing,0.204,1,False
PM-SYN-000,2026-08-19T08:52:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,19,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.333,0.4,24.67,25.8,31.0,4.53,-12.0,0,1,0,1,8.0,0.0,1.7,False,2,False,False,0.5,0.35,2,21.5,2.6,1.22,True,0.204,decreasing,0.186,1,False
PM-SYN-000,2026-08-19T08:54:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,24,25,normal_update,delayed,medium,rain,0.72,caution,False,medium,0,none,0.0,0.4,22.33,25.67,24.0,3.87,0.0,0,1,0,1,8.0,0.0,1.73,False,4,False,False,0.5,0.35,1,36.8,1.4,0.54,True,0.186,decreasing,0.142,1,False
PM-SYN-000,2026-08-19T08:56:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,22,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.0,0.2,21.67,25.13,24.0,3.95,3.0,0,1,0,1,6.0,0.0,1.77,False,6,False,False,0.5,0.35,3,29.2,0.4,1.01,True,0.142,decreasing,0.106,1,False
PM-SYN-000,2026-08-19T08:58:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,26,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,1,minor,0.333,0.2,24.0,25.47,26.0,2.37,2.0,0,0,0,0,6.0,0.0,1.8,False,8,False,False,0.5,0.35,1,16.7,1.0,1.32,True,0.106,decreasing,0.172,0,True
PM-SYN-000,2026-08-19T09:00:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,21,25,sharp_turn,fresh,medium,rain,0.72,caution,False,medium,0,none,0.333,0.2,23.0,25.33,26.0,2.42,-1.0,0,1,0,1,8.0,0.0,1.83,False,10,False,True,0.5,0.35,1,9.8,10.9,1.41,True,0.172,decreasing,0.382,0,True
PM-SYN-000,2026-08-19T09:02:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,24,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.333,0.2,23.67,25.33,26.0,1.74,-2.0,0,1,0,1,8.0,0.0,1.87,False,12,False,False,0.5,0.35,2,12.6,12.3,1.55,True,0.382,decreasing,0.229,0,True
PM-SYN-000,2026-08-19T09:04:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,32,25,speeding,stale,medium,rain,0.72,caution,False,medium,7,minor,0.333,0.4,25.67,25.33,32.0,3.9,11.0,0,1,0,1,8.0,0.131,1.9,False,14,False,True,0.5,0.35,0,999.0,0.0,0.0,False,0.229,increasing,0.129,0,True
PM-SYN-000,2026-08-19T09:06:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,23,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.333,0.4,26.33,24.6,32.0,3.76,-1.0,0,1,0,1,8.0,0.0,1.93,False,16,False,False,0.5,0.35,0,999.0,0.0,0.0,True,0.129,decreasing,0.082,0,False
PM-SYN-000,2026-08-19T09:08:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,20,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.333,0.2,25.0,24.33,32.0,4.24,-12.0,0,1,0,1,8.0,0.0,1.97,False,18,False,False,0.5,0.35,0,999.0,0.0,0.0,False,0.082,stable,0.054,0,False
PM-SYN-000,2026-08-19T09:10:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,31,25,speeding,delayed,medium,rain,0.72,caution,False,medium,6,minor,0.333,0.4,24.67,24.67,31.0,4.69,8.0,0,0,0,0,10.0,0.186,2.0,False,20,False,True,0.5,0.35,1,39.5,1.8,0.0,True,0.054,increasing,0.222,0,False
PM-SYN-000,2026-08-19T09:12:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,28,25,harsh_brake,fresh,medium,rain,0.72,caution,False,medium,3,minor,0.667,0.6,26.33,24.67,31.0,4.62,8.0,1,0,1,0,10.0,0.0,2.03,False,22,False,True,0.5,0.35,3,38.0,3.3,0.19,True,0.222,stable,0.177,0,False
PM-SYN-000,2026-08-19T09:14:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,21,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.667,0.4,26.67,24.8,31.0,4.22,-10.0,1,0,1,0,10.0,0.0,2.07,False,24,False,False,0.5,0.35,3,18.0,17.7,2.24,True,0.177,decreasing,0.421,0,False
PM-SYN-000,2026-08-19T09:16:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,23,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.333,0.4,24.0,24.6,28.0,4.22,-5.0,1,0,1,0,10.0,0.0,2.1,False,26,False,False,0.5,0.35,2,44.6,9.8,1.35,True,0.421,decreasing,0.213,0,False
PM-SYN-000,2026-08-19T09:18:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,23,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.0,0.4,22.33,24.07,23.0,3.71,2.0,1,0,1,0,8.0,0.0,2.13,False,28,False,False,0.5,0.35,1,34.5,0.1,1.19,True,0.213,decreasing,0.079,0,False
PM-SYN-000,2026-08-19T09:20:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,22,25,sharp_turn,delayed,medium,rain,0.72,caution,False,medium,0,none,0.0,0.2,22.67,23.93,23.0,2.42,-1.0,1,1,1,1,10.0,0.081,2.17,False,30,False,True,0.5,0.35,2,24.5,8.8,1.86,True,0.079,increasing,0.394,0,False
PM-SYN-000,2026-08-19T09:22:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,34,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,9,minor,0.333,0.2,26.33,24.93,34.0,4.76,11.0,0,1,0,1,10.0,0.046,2.2,False,32,False,False,0.5,0.35,1,36.4,6.7,0.57,True,0.394,increasing,0.096,0,False
PM-SYN-000,2026-08-19T09:24:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,26,25,normal_update,delayed,medium,rain,0.72,caution,False,medium,1,minor,0.667,0.4,27.33,25.07,34.0,4.41,4.0,0,1,0,1,10.0,0.024,2.23,False,34,False,False,0.5,0.35,2,47.2,7.2,1.4,True,0.096,stable,0.154,0,False
PM-SYN-000,2026-08-19T09:26:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,17,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.667,0.4,25.67,24.73,34.0,5.61,-17.0,0,1,0,1,10.0,0.0,2.27,False,36,False,False,0.5,0.35,3,18.7,15.0,1.22,True,0.154,decreasing,0.352,0,False
PM-SYN-000,2026-08-19T09:28:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,21,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.333,0.4,21.33,24.4,26.0,5.76,-5.0,0,1,0,1,10.0,0.0,2.3,False,38,False,False,0.5,0.35,1,42.8,10.7,0.38,True,0.352,decreasing,0.121,0,False
PM-SYN-000,2026-08-19T09:30:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,34,25,normal_update,fresh,medium,rain,0.72,caution,False,medium,9,minor,0.333,0.6,24.0,25.27,34.0,6.83,17.0,0,0,0,0,8.0,0.239,2.33,False,40,False,False,0.5,0.35,0,999.0,0.0,0.0,True,0.121,increasing,0.061,0,False
PM-SYN-000,2026-08-19T09:32:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,22,25,sharp_turn,fresh,medium,rain,0.72,caution,False,medium,0,none,0.333,0.4,25.67,25.13,34.0,5.76,1.0,0,1,0,1,10.0,0.019,2.37,False,42,False,True,0.5,0.35,1,11.0,7.8,0.62,True,0.061,stable,0.325,0,False
PM-SYN-001,2026-08-19T09:22:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,15,15,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.0,0.0,13.33,14.67,15.0,1.36,4.0,1,0,1,0,2.0,0.0,0.5,False,999.0,False,False,0.5,0.35,1,11.6,3.9,1.56,True,0.308,decreasing,0.091,0,False
PM-SYN-001,2026-08-19T09:24:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,11,15,sharp_turn,fresh,medium,rain,0.72,caution,False,medium,0,none,0.0,0.0,13.33,14.67,15.0,1.67,-3.0,0,1,0,1,4.0,0.0,0.53,False,999.0,False,True,0.5,0.35,3,21.1,1.4,0.51,True,0.091,stable,0.176,0,False
PM-SYN-001,2026-08-19T09:26:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,10,15,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.0,0.0,12.0,14.6,15.0,1.94,-5.0,0,1,0,1,4.0,0.0,0.57,False,999.0,False,False,0.5,0.35,1,23.5,1.4,2.53,True,0.176,decreasing,0.159,0,False
PM-SYN-001,2026-08-19T09:28:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,10,15,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.0,0.0,10.33,14.47,11.0,2.1,-1.0,0,1,0,1,4.0,0.0,0.6,False,999.0,False,False,0.5,0.35,1,9.3,3.3,1.79,True,0.159,decreasing,0.231,0,False
PM-SYN-001,2026-08-19T09:30:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,16,15,normal_update,fresh,medium,rain,0.72,caution,False,medium,1,minor,0.333,0.2,12.0,14.47,16.0,2.58,6.0,0,1,0,1,4.0,0.0,0.63,False,999.0,False,False,0.5,0.35,2,11.7,8.7,2.24,True,0.231,decreasing,0.363,1,False
PM-SYN-001,2026-08-19T09:32:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,11,15,normal_update,fresh,medium,rain,0.72,caution,False,medium,0,none,0.333,0.2,12.33,14.33,16.0,2.24,1.0,0,1,0,1,4.0,0.0,0.67,False,0,True,False,0.5,0.35,1,21.1,13.4,2.49,True,0.363,decreasing,0.109,1,False
PM-SYN-001,2026-08-19T09:34:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,16,15,sharp_turn,fresh,medium,rain,0.72,caution,False,medium,1,minor,0.667,0.4,14.33,14.0,16.0,2.8,0.0,0,1,0,1,6.0,0.011,0.7,False,2,False,True,0.5,0.35,0,999.0,0.0,0.0,False,0.109,stable,0.142,1,False
PM-SYN-001,2026-08-19T09:36:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,24,15,speeding,fresh,medium,rain,0.72,caution,False,medium,9,minor,0.667,0.6,17.0,14.4,24.0,4.96,13.0,0,1,0,1,8.0,0.298,0.73,False,4,False,True,0.5,0.35,1,28.5,11.6,1.01,True,0.142,increasing,0.44,1,False
PM-SYN-001,2026-08-19T09:38:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,20,15,normal_update,fresh,medium,rain,0.72,caution,False,medium,5,minor,1.0,0.8,20.0,14.27,24.0,4.36,4.0,0,1,0,1,8.0,0.0,0.77,False,0,True,False,0.5,0.35,0,999.0,0.0,0.0,False,0.44,decreasing,0.07,1,False
PM-SYN-001,2026-08-19T09:40:00+08:00,15m,SYNTHETIC_LATENT_PROCESS,synthetic_reviewed,False,27,15,normal_update,fresh,medium,rain,0.72,caution,False,medium,12,moderate,1.0,0.8,23.67,15.13,27.0,5.68,3.0,0,1,0,1,8.0,0.49,0.8,False,2,False,False,0.5,0.35,2,12.0,4.1,0.0,True,0.07,increasing,0.41,1,False
